year,team,player,goals,shots,mins,gps,gps.sr
2002,CAR,Arturs Irbe,126,1282,2974,6.014405062802832,7
2002,CAR,Tom Barrasso,83,886,1908,4.557193539368299,5.3
2002,CAR,Kevin Weekes,3,41,120,0.2934538623667391,0.3
2002,CBJ,Ron Tugnutt,119,1195,2502,5.453980206728631,6.4
2002,CBJ,Marc Denis,121,1197,2335,5.286275248380986,6.2
2002,CBJ,Jean-Francois Labbe,6,68,117,0.3861140879325628,0.5
2002,CGY,Roman Turek,172,1839,4081,9.48615876404053,11.1
2002,CGY,Mike Vernon,38,375,825,1.646995477245445,1.9
2002,CGY,Kay Whitmore,3,21,58,0.0066058097940023645,0
2002,CHI,Jocelyn Thibault,159,1626,3838,7.7077604675728235,9
2002,CHI,Steve Passmore,43,446,1142,2.1743316548663767,2.5
2002,COL,Patrick Roy*,122,1629,3773,11.383998302149642,13.3
2002,COL,David Aebischer,37,538,1184,4.083001987515708,4.8
2002,DAL,Ed Belfour*,153,1458,3467,5.887406116776577,6.9
2002,DAL,Marty Turco,53,670,1519,4.405081025656455,5.1
2002,DET,Dominik Hasek*,140,1654,3872,9.975050495421335,11.6
2002,DET,Manny Legace,45,503,1117,2.79545884109376,3.3
2002,EDM,Tommy Salo,149,1713,4035,9.937498314288797,11.6
2002,EDM,Jussi Markkanen,24,336,784,2.462370119963007,2.9
2002,EDM,Ty Conklin,4,66,148,0.553819046280203,0.6
2002,FLA,Roberto Luongo,140,1653,3030,9.960708092792707,11.6
2002,FLA,Trevor Kidd,90,857,1683,3.4538996905206334,4
2002,FLA,Wade Flaherty,12,148,245,0.944337007408767,1.1
2002,LAK,Felix Potvin,157,1686,4071,8.764694388895947,10.2
2002,LAK,Jamie Storr,28,360,886,2.4138082558404643,2.8
2002,MDA,Jean-Sebastien Giguere,111,1384,3127,8.950253357960646,10.4
2002,MDA,Steve Shields,79,850,1777,4.433646571947202,5.2
2002,MDA,Ilya Bryzgalov,1,12,32,0.07391394974118497,0.1
2002,MIN,Dwayne Roloson,112,1132,2506,5.237773013741706,6.1
2002,MIN,Manny Fernandez,125,1157,2463,4.319799616025684,5
2002,MIN,Derek Gustafson,0,7,26,0.10039681840045785,0.1
2002,MTL,Jose Theodore,136,1972,3864,14.92871405853768,17.4
2002,MTL,Jeff Hackett,38,395,717,1.933843529818182,2.3
2002,MTL,Mathieu Garon,19,147,261,0.24263043216293081,0.3
2002,MTL,Olivier Michaud,0,14,18,0.2007936368009157,0.2
2002,MTL,Stephane Fiset,7,60,109,0.17317998510101082,0.2
2002,NJD,Martin Brodeur*,156,1655,4347,8.418274789210665,9.8
2002,NJD,John Vanbiesbrouck,10,117,300,0.6961122895259394,0.8
2002,NJD,Jean-Francois Damphousse,12,115,294,0.4710377206637513,0.5
2002,NJD,Scott Clemmensen,1,5,20,-0.026482868659272907,0
2002,NSH,Mike Dunham,144,1525,3316,7.732101029117361,9
2002,NSH,Tomas Vokoun,66,678,1471,3.243286783253608,3.8
2002,NSH,Jan Lasak,13,104,177,0.21507640994628902,0.3
2002,NYI,Chris Osgood,156,1727,3743,9.450927778472513,11
2002,NYI,Garth Snow,55,549,1217,2.473260543986485,2.9
2002,NYR,Mike Richter,157,1675,3195,8.606927959980943,10
2002,NYR,Dan Blackburn,95,935,1737,4.0816326865420205,4.8
2002,NYR,Johan Holmqvist,0,2,9,0.028684805257273682,0
2002,OTT,Patrick Lalime,148,1521,3583,7.281951891392979,8.5
2002,OTT,Jani Hurme,54,578,1309,2.9873851020194104,3.5
2002,OTT,Simon Lajeunesse,0,9,24,0.12908162365773154,0.2
2002,OTT,Martin Prusek,3,15,62,-0.07944860597781869,-0.1
2002,PHI,Roman Cechmanek,89,1131,2603,7.481912892569585,8.7
2002,PHI,Brian Boucher,92,972,2295,4.906886229208955,5.7
2002,PHI,Neil Little,4,29,60,0.023150149020640057,0
2002,PHX,Sean Burke,137,1711,3587,11.087152090661009,12.9
2002,PHX,Robert Esche,52,533,1145,2.538366747335666,3
2002,PHX,Patrick DesRochers,15,99,243,-0.0530253668018095,-0.1
2002,PIT,Johan Hedberg,178,1851,3877,9.069098304769428,10.6
2002,PIT,Jean-Sebastien Aubin,65,537,1094,1.3192028944182714,1.5
2002,SJS,Evgeni Nabokov,149,1818,3901,11.443450590295665,13.3
2002,SJS,Miikka Kiprusoff,43,508,1037,3.0635606178418606,3.6
2002,SJS,Vesa Toskala,0,2,10,0.028684805257273686,0
2002,STL,Brent Johnson,127,1293,3491,6.0739766099153805,7.1
2002,STL,Fred Brathwaite,54,543,1446,2.485401010017121,2.9
2002,STL,Reinhard Divis,0,4,25,0.057369610514547364,0.1
2002,TBL,Nikolai Khabibulin,153,1914,3896,12.427541715434975,14.5
2002,TBL,Kevin Weekes,40,470,830,2.813133963361031,3.3
2002,TBL,Dieter Kochan,16,129,237,0.2790518302548389,0.3
2002,TOR,Curtis Joseph,114,1210,3065,6.160090655170467,7.2
2002,TOR,Corey Schwab,75,707,1646,2.775462523261964,3.2
2002,TOR,Tom Barrasso,10,110,219,0.5957154711254814,0.7
2002,TOR,Sebastien Centomo,3,12,40,-0.12247581386372923,-0.1
2002,VAN,Dan Cloutier,142,1440,3502,6.709386569288143,7.8
2002,VAN,Peter Skudra,47,508,1166,2.670781090632031,3.1
2002,VAN,Alex Auld,2,22,60,0.11914309422509628,0.1
2002,VAN,Martin Brochu,15,104,216,0.018686646341374832,0
2002,WSH,Olaf Kolzig,192,1977,4131,9.501512690743267,11.1
2002,WSH,Craig Billington,36,295,710,0.695993030559412,0.8
2002,WSH,Sebastien Charpentier,5,78,122,0.6277329960213881,0.7
2003,ATL,Pasi Nurminen,137,1452,2856,7.031186336044257,8.3
2003,ATL,Byron Dafoe,65,472,895,0.30308817389476134,0.4
2003,ATL,Milan Hnilicka,65,605,1097,2.162760951474724,2.6
2003,ATL,Frederic Cassivi,11,58,123,-0.25460227776873023,-0.3
2003,BOS,Steve Shields,97,930,2112,3.6071835150264966,4.3
2003,BOS,John Grahame,61,625,1352,2.8298973200592137,3.3
2003,BOS,Jeff Hackett,53,500,991,1.8570572128620721,2.2
2003,BOS,Tim Thomas,11,118,220,0.5843478474553135,0.7
2003,BOS,Andrew Raycroft,12,146,300,0.878986324182415,1
2003,BUF,Martin Biron,135,1468,3170,7.448649532858911,8.8
2003,BUF,Ryan Miller,40,410,912,1.8579625872662169,2.2
2003,BUF,Mika Noronen,36,411,891,2.259431416196426,2.7
2003,CAR,Kevin Weekes,126,1438,2965,7.9010187056439545,9.3
2003,CAR,Arturs Irbe,100,816,1884,1.7225635319684554,2
2003,CAR,Patrick DesRochers,7,71,122,0.31465657620628745,0.4
2003,CBJ,Marc Denis,232,2404,4511,11.139728060407807,13.2
2003,CBJ,Jean-Francois Labbe,27,233,451,0.6423902800954976,0.8
2003,CGY,Roman Turek,164,1679,3822,7.589681603617352,9
2003,CGY,Jamie McLennan,58,537,1165,1.8900518815296385,2.2
2003,CHI,Jocelyn Thibault,144,1690,3650,9.680920760790798,11.4
2003,CHI,Michael Leighton,21,241,447,1.3354797870567485,1.6
2003,CHI,Steve Passmore,38,284,617,0.2899104877172959,0.3
2003,CHI,Craig Anderson,18,125,270,0.0041242900892874456,0
2003,COL,Patrick Roy*,137,1723,3769,10.820444401639524,12.8
