X1,year,team,games,wins,points,goals,goals.against,team.dps,team.ops,team.gps,dps.avg,ops.avg,gps.avg,team.ps,dps.prop,dps.prop.adj,ops.prop,ops.prop.adj,dps.full.prop,dps.full.prop.adj
75,2001,NYR,82,33,72,250,290,19.143488597121348,80.58673085330042,10.290661945355271,0.23345717801367497,0.9827650104061028,0.12549587738238135,110.02088139577704,0.17399868419756304,-0.16688496382488327,0.7324675991588048,0.18349510072841635,0.26753240084119523,-0.1834951007284164
76,2001,OTT,82,48,109,274,205,44.136036065134924,95.9885183274791,13.361521874932965,0.538244342257743,1.1705916869204769,0.16294538871869468,153.486076267547,0.2875572634236857,-0.0533263845987606,0.6253890949701401,0.07641659653975164,0.37461090502986,-0.07641659653975164
77,2001,PHI,82,43,100,240,207,44.79448448739353,69.66798325401925,12.032915901111991,0.5462742010657747,0.8496095518782835,0.14674287684282916,126.49538364252477,0.35411951960225274,0.013235871579806435,0.5507551441632097,0.0017826457328212753,0.4492448558367903,-0.0017826457328213308
78,2001,PHX,82,35,90,214,212,40.26158030629688,55.3386528047367,15.415417825275615,0.4909948817841083,0.6748616195699597,0.1879929003082392,111.01565093630919,0.362665804026095,0.02178215600364869,0.49847613681502484,-0.05049636161536358,0.5015238631849752,0.05049636161536358
79,2001,PIT,82,42,96,281,256,28.493850647700487,108.29758349356199,10.918990316105903,0.34748598350854254,1.3207022377263657,0.13315841848909638,147.71042445736836,0.1929034511435195,-0.1479801968789268,0.7331749528945294,0.18420245446414096,0.2668250471054707,-0.1842024544641409
80,2001,SJS,82,40,95,217,192,47.94382489627515,59.5468110258612,13.473205562783988,0.5846807914179897,0.7261806222666001,0.16430738491199987,120.96384148492035,0.3963483988911839,0.05546475086873759,0.49226951041633754,-0.05670298801405088,0.5077304895836624,0.05670298801405077
81,2001,STL,82,43,103,249,195,49.96230583898088,78.07190225760381,10.137817092018885,0.6092964126704986,0.9520963689951684,0.12363191575632787,138.17202518860356,0.3615949449302982,0.020711296907851895,0.565034073655911,0.01606157522552254,0.43496592634408915,-0.016061575225522484
82,2001,TBL,82,24,59,201,280,23.525830281271013,47.024913711726995,11.361163575896434,0.2869003692837928,0.5734745574600854,0.13855077531581017,81.91190756889443,0.28720891723201436,-0.053674730790431946,0.5740913025639807,0.025118804133592243,0.4259086974360194,-0.025118804133592243
83,2001,TOR,82,37,90,232,207,43.28193175015308,69.36157259284043,13.224566411820788,0.5278284359774765,0.845872836498054,0.16127520014415594,125.8680707548143,0.3438674438290586,0.0029837958066122883,0.5510656688140859,0.0020931703836974958,0.4489343311859141,-0.0020931703836975513
84,2001,VAN,82,36,90,239,238,35.362799190705196,73.40815647605586,8.590228639579278,0.43125364866713656,0.8952214204397057,0.10475888584852779,117.36118430634035,0.30131597086137063,-0.039567677161075676,0.6254892272085741,0.07651672877818572,0.3745107727914258,-0.07651672877818583
85,2001,WSH,82,41,96,233,211,41.802164507746824,72.32652007605225,13.344760492028808,0.5097824939969124,0.8820307326347835,0.16274098161010742,127.47344507582788,0.3279284127206314,-0.012955235301814916,0.5673849956202929,0.018412497189904453,0.4326150043797071,-0.01841249718990451
86,2002,ATL,82,19,54,187,288,16.74955689702561,40.37027951462845,14.644542801287677,0.20426288898811717,0.4923204818857128,0.17859198538155704,71.76437921294175,0.23339652736806576,-0.10505002284187082,0.5625392424121772,0.011834047962438032,0.4374607575878226,-0.011834047962438143
87,2002,BOS,82,43,101,236,201,42.73230852694752,78.40226149697536,10.184413360681203,0.5211257137432624,0.9561251402070166,0.12420016293513662,131.31898338460408,0.32540846285562613,-0.013038087354310446,0.5970367686090943,0.04633157415935507,0.4029632313909058,-0.04633157415935496
88,2002,BUF,82,35,82,213,200,43.7126067929367,62.28335457454735,11.521589524783062,0.5330805706455695,0.7595531045676507,0.1405071893266227,117.51755089226712,0.3719666250789189,0.03352007486898234,0.5299919382394627,-0.02071325621027653,0.47000806176053717,0.02071325621027642
89,2002,CAR,82,35,91,217,217,36.93578703503708,67.50958873963941,10.86505246453787,0.45043642725654975,0.8232876675565782,0.13250063981143745,115.31042823921436,0.32031610322713283,-0.01813044698280375,0.5854595266924956,0.03475433224275637,0.41454047330750443,-0.034754332242756314
90,2002,CBJ,82,22,57,164,255,26.184996175621663,29.460312168383687,11.12636954304218,0.31932922165392275,0.35927209961443524,0.1356874334517339,66.77167788704753,0.3921572289963537,0.05371067878641711,0.4412097029854396,-0.1094954914642996,0.5587902970145604,0.10949549146429965
91,2002,CGY,82,32,79,201,220,36.92160871976307,54.508509195258995,11.139760051079977,0.4502635209727204,0.6647379170153536,0.1358507323302436,102.56987796610204,0.3599654153041419,0.02151886509420531,0.5314280398507769,-0.019277154598962287,0.46857196014922314,0.019277154598962398
92,2002,CHI,82,41,96,216,207,40.78411702573688,72.59160922283928,9.8820921224392,0.4973672808016693,0.8852635271077961,0.12051331856633171,123.25781837101538,0.33088462512758093,-0.007561925082355647,0.5889412142954943,0.03823601984575509,0.4110587857045056,-0.03823601984575514
93,2002,COL,82,45,99,212,169,52.85399164931673,68.02449666769874,15.46700028966535,0.6445608737721553,0.8295670325329115,0.18862195475201646,136.34548860668082,0.3876475282712576,0.04920097806132101,0.49891270597101073,-0.05179248847872847,0.5010872940289892,0.05179248847872847
94,2002,DAL,82,36,90,215,213,39.71433250977361,68.47007228882718,10.292487142433032,0.4843211281679709,0.8350008815710632,0.12551813588332966,118.47689194103383,0.3352074135227949,-0.003239136687141708,0.5779192141781105,0.02721401972837134,0.4220807858218895,-0.02721401972837123
95,2002,DET,82,51,116,251,187,45.205765583079824,96.7532656284797,12.770509336515095,0.5512898241839003,1.1799178735180451,0.15573791873798898,154.72954054807462,0.29215989023785893,-0.04628665997207765,0.6253057127020832,0.07460051825234404,0.37469428729791665,-0.0746005182523441
96,2002,EDM,82,38,92,205,182,48.18011650947846,61.056425448415375,12.953687480532007,0.5875623964570544,0.744590554248968,0.15797179854307325,122.19022943842585,0.39430416597881424,0.055857615768877655,0.4996833685395685,-0.05102182591017068,0.5003166314604315,0.05102182591017074
97,2002,FLA,82,22,60,180,250,26.196300990506316,29.829363395660526,14.358944790722107,0.319467085250077,0.3637727243373235,0.17510908281368423,70.38460917688894,0.3721879157511607,0.033741365541224144,0.42380520037689023,-0.12689999407284897,0.5761947996231098,0.12689999407284908
98,2002,LAK,82,40,95,214,190,46.44682020417005,60.37779456415064,11.178502644736412,0.5664246366362201,0.7363145678554956,0.13632320298459039,118.0031174130571,0.3936067217748833,0.055160171564946736,0.5116627076283479,-0.03904248682139133,0.4883372923716522,0.03904248682139144
99,2002,MDA,82,29,69,175,198,42.5179996850342,25.346286919105232,13.457813879649033,0.5185121912809049,0.3091010599890882,0.16411968145913455,81.32210048378847,0.5228344992578019,0.18438794904786532,0.3116777206727217,-0.2390274737770175,0.6883222793272781,0.23902747377701733
100,2002,MIN,82,26,73,195,238,29.528026131850726,44.89632450783595,9.657969448167849,0.3600978796567162,0.5475161525345847,0.11778011522155914,84.08232008785453,0.35117996388536826,0.012733413675431682,0.5339567754662982,-0.016748418983441038,0.46604322453370184,0.016748418983441093
101,2002,MTL,82,36,87,207,209,37.915476737297325,54.34789751158517,17.47916164242072,0.4623838626499674,0.6627792379461606,0.21316050783439902,109.7425358913032,0.3454948113724245,0.007048261162487912,0.49523092454702505,-0.055474269902714146,0.504769075452975,0.05547426990271426
102,2002,NJD,82,41,95,205,187,48.91730527905505,53.027883723924425,9.558941930741083,0.5965525034031104,0.6466815088283466,0.1165724625700132,111.50413093372056,0.4387039732916452,0.1002574230817086,0.47556878189064455,-0.07513641255909465,0.5244312181093554,0.0751364125590947
103,2002,NSH,82,28,69,196,230,33.47744915527721,44.281792092274436,11.190464222317258,0.4082615750643563,0.5400218547838346,0.13646907588191778,88.9497054698689,0.376363799952294,0.03791724974235744,0.497829552760853,-0.0528756416888862,0.50217044723914706,0.05287564168888631
104,2002,NYI,82,42,96,239,220,37.02847331632799,80.04504871018156,11.924188322458999,0.4515667477600974,0.9761591306119702,0.14541693076169512,128.99771034896855,0.28704752368206715,-0.05139902652786943,0.6205152672372343,0.06981007278749507,0.37948473276276573,-0.06981007278749501
105,2002,NYR,82,36,80,227,258,23.632156845771107,74.53205297191724,12.717245451780238,0.2881970347045257,0.9089274752672833,0.1550883591680517,110.88145526946859,0.21312993041387565,-0.12531661979606093,0.6721778027785299,0.1214726083287907,0.32782219722147005,-0.1214726083287907
106,2002,OTT,82,39,94,243,208,39.79302717550294,80.99806282467704,10.318970011092302,0.4852808192134505,0.987781253959476,0.1258410976962476,131.11006001127228,0.3035085726608752,-0.03493797754906136,0.6177867878156197,0.06708159336588049,0.3822132121843803,-0.06708159336588043
107,2002,PHI,82,42,97,234,192,45.6194794968783,75.9695996430825,12.41194927079918,0.556335115815589,0.9264585322327135,0.1513652350097461,134.00102841075997,0.34044126405536723,0.0019947138454306512,0.5669329597248249,0.016227765275085737,0.4330670402751752,-0.01622776527508557
108,2002,PHX,82,40,95,228,210,38.65274423670765,74.20309818819585,13.572493471194866,0.4713749297159469,0.9049158315633641,0.16551821306335202,126.42833589609836,0.30572849007894354,-0.03271806013099304,0.5869182542209337,0.03621305977119449,0.41308174577906637,-0.03621305977119438
109,2002,PIT,82,28,69,198,249,27.00161567391363,54.14894864727219,10.3883011991877,0.32928799602333697,0.6603530322838073,0.1266865999900939,91.53886552037352,0.29497433161768827,-0.04347221859224831,0.5915405258678941,0.040835331418154874,0.40845947413210587,-0.040835331418154874
