X1,year,team,games,wins,ot.wins,ot.losses,goals,goals.against,points,team.dps,team.ops,team.gps,dps.avg,ops.avg,gps.avg,team.ps,dps.prop,dps.prop.adj,ops.prop,ops.prop.adj,dps.full.prop,dps.full.prop.adj,champ
141,2008,PHI,17,9,2,1,52,54,17,5.2243813698396995,16.545117587793307,2.309989301082897,0.30731655116704115,0.9732422110466651,0.1358817235931116,24.0794882587159,0.21696397006895124,-0.037625540278063474,0.6871042029643041,-0.028691014059919584,0.31289579703569603,0.028691014059919695,0
142,2008,DAL,18,10,3,1,45,41,18,9.98641751999723,11.131596284974945,3.178211308867032,0.5548009733331795,0.6184220158319413,0.17656729493705733,24.296225113839206,0.411027535067945,0.15643802472093027,0.45816155525470303,-0.25763366176952063,0.5418384447452971,0.25763366176952074,0
143,2008,PIT,20,14,2,0,61,43,26,11.642318636348165,20.880044690137463,4.521341761768153,0.5821159318174083,1.0440022345068731,0.22606708808840764,37.04370508825379,0.3142860199489018,0.059696509601887104,0.5636597268116771,-0.15213549021254658,0.4363402731883227,0.15213549021254635,0
144,2008,DET,22,16,1,1,72,41,32,15.479848742936289,25.854778154027763,3.295455743328448,0.7036294883152858,1.1752171888194438,0.14979344287856583,44.6300826402925,0.34684786196118134,0.09225835161416662,0.579312800346146,-0.1364824166780777,0.42068719965385404,0.1364824166780777,1
145,2009,STL,4,0,0,1,5,11,1,1.9466746876759569,-1.1253883384849612,0.618417790147883,0.4866686719189892,-0.2813470846212403,0.15460444753697075,1.4397041393388785,1.3521352300687852,0.8649986768088611,-0.7816802825903848,-1.1017089886846594,1.7816802825903848,1.1017089886846594,0
146,2009,MTL,4,0,0,0,6,17,0,0.5734240117892617,-0.3288607437721636,0.22798255444790255,0.14335600294731543,-0.0822151859430409,0.05699563861197564,0.47254582246500065,1.213478110541825,0.726341557281901,-0.695934083295215,-1.0159627893894894,1.695934083295215,1.0159627893894894,0
147,2009,CBJ,4,0,0,0,7,18,0,0.08827087231718425,0.09784730226387539,0.17433057041993041,0.022067718079296063,0.024461825565968848,0.043582642604982604,0.36044874500099006,0.24489160675796443,-0.24224494650195968,0.271459683577499,-0.04856902251677547,0.7285403164225009,0.04856902251677542,0
148,2009,SJS,6,2,1,0,10,18,3,2.5107821435462343,0.3823794513295785,0.39599999799186636,0.41846369059103905,0.06372990855492976,0.06599999966531106,3.289161592867679,0.7633501950742381,0.27621364181431396,0.11625438292808177,-0.2037743231661927,0.8837456170719182,0.2037743231661927,0
149,2009,PHI,6,2,0,1,16,18,5,2.5674403206457854,4.189754654238469,1.0947614423332828,0.4279067201076309,0.6982924423730782,0.18246024038888045,7.851956417217538,0.32698096935637316,-0.16015558390355095,0.5335937225850234,0.21356501649074888,0.4664062774149765,-0.21356501649074905,0
150,2009,CGY,6,2,0,1,16,21,5,1.5987678410778403,4.122559242687953,0.35015787000802356,0.2664613068463067,0.6870932071146588,0.05835964500133726,6.071484953773816,0.26332402258266385,-0.22381253067726026,0.6790034520509713,0.3589747459566969,0.3209965479490288,-0.3589747459566967,0
151,2009,NYR,7,3,0,0,11,19,6,2.9669893083485626,-0.03463465632082928,1.0350649751261933,0.4238556154783661,-0.004947808045832754,0.14786642501802763,3.9674196271539266,0.7478385417165883,0.26070198845666415,-0.0087297688612976,-0.3287584749555721,1.0087297688612975,0.328758474955572,0
152,2009,NJD,7,3,1,1,15,17,6,3.3179547519111945,2.4398736427426804,1.5597644927445282,0.4739935359873135,0.34855337753466864,0.22282349896350404,7.317592887398403,0.45342161048956836,-0.03371494277035575,0.3334257152983158,0.0133970092040413,0.6665742847016842,-0.0133970092040413,0
153,2009,VAN,10,6,1,1,30,28,12,4.59241713841653,9.732939236846278,1.533072822578967,0.459241713841653,0.9732939236846277,0.1533072822578967,15.858429197841774,0.28958840003154457,-0.19754815322837954,0.6137391740016007,0.29371046790732624,0.3862608259983993,-0.29371046790732624,0
154,2009,BOS,11,7,0,2,34,22,16,7.126052973133404,11.231707833735218,2.311429556529835,0.6478229975575821,1.0210643485213835,0.21012995968453047,20.669190363398457,0.3447669138386961,-0.142369639421228,0.5434033765359586,0.22337467044168413,0.45659662346404145,-0.22337467044168408,0
155,2009,ANA,13,7,1,1,35,32,14,6.169031225021025,9.456354116937005,4.252054056065205,0.47454086346315577,0.7274118551490004,0.327081081235785,19.877439398023235,0.310353416327584,-0.1767831369323401,0.47573301206378815,0.15570430596951368,0.524266987936212,-0.15570430596951357,0
156,2009,WSH,14,7,1,2,41,38,15,5.942529459922147,13.066148360831168,1.9315865580199254,0.4244663899944391,0.9332963114879406,0.13797046842999466,20.94026437877324,0.28378483444296815,-0.20335171881695596,0.6239724639807357,0.3039437578864612,0.37602753601926436,-0.30394375788646116,0
157,2009,CAR,18,8,3,1,42,52,14,7.507272768867016,9.614723290870632,2.9318813632395786,0.41707070938150087,0.5341512939372574,0.16288229795775436,20.053877422977227,0.3743551738411132,-0.11278137941881089,0.4794446025612147,0.1594158964669402,0.5205553974387853,-0.1594158964669402,0
158,2009,CHI,17,9,3,2,54,54,17,5.998875590757157,17.785047673694656,1.7560279021286833,0.352875034750421,1.046179274923215,0.10329575894874608,25.539951166580497,0.2348820305736057,-0.2522545226863184,0.696361851191271,0.37633314509699656,0.30363814880872897,-0.37633314509699656,0
