year,team,player,goals,shots,mins,gps
2007,VAN,Dany Sabourin,1,11,14,0.05073837515055897
2007,VAN,Roberto Luongo,25,427,847,3.663000237501486
2008,ANA,Jean-Sebastien Giguere,19,187,358,0.6929696079165422
2008,BOS,Tim Thomas,19,221,430,1.1912584543775582
2008,CGY,Curtis Joseph,1,33,79,0.37586386859444215
2008,CGY,Miikka Kiprusoff,18,196,336,0.9326390202445319
2008,COL,Jose Theodore,27,286,514,1.2817140959053825
2008,COL,Peter Budaj,6,65,108,0.30599448864561835
2008,DAL,Marty Turco,40,511,1152,3.178211308867032
2008,DET,Chris Osgood,30,430,1160,3.068805645534172
2008,DET,Dominik Hasek*,10,89,206,0.22665009779427592
2008,MIN,Josh Harding,0,11,20,0.16121109738444647
2008,MIN,Niklas Backstrom,17,170,361,0.6593640318038284
2008,MTL,Carey Price,30,304,648,1.222205802766876
2008,MTL,Jaroslav Halak,3,27,77,0.0723916956305859
2008,NJD,Martin Brodeur*,16,147,301,0.4300557062861555
2008,NSH,Dan Ellis,15,240,357,1.900791680459009
2008,NYR,Henrik Lundqvist,26,287,608,1.404139073771957
2008,OTT,Martin Gerber,14,159,238,0.8214612050960738
2008,PHI,Martin Biron,52,540,1049,2.309989301082897
2008,PIT,Marc-Andre Fleury,41,610,1251,4.521341761768153
2008,SJS,Brian Boucher,0,0,2,0
2008,SJS,Evgeni Nabokov,31,333,853,1.5394474541306096
2008,WSH,Cristobal Huet,22,242,451,1.1757168241620826
2009,ANA,Jean-Sebastien Giguere,0,6,17,0.08312603533947589
2009,ANA,Jonas Hiller,30,524,807,4.168928020725729
2009,BOS,Tim Thomas,21,323,680,2.311429556529835
2009,CAR,Cam Ward,49,576,1101,2.9318813632395786
2009,CBJ,Steve Mason,17,139,239,0.17433057041993041
2009,CGY,Curtis McElhinney,1,10,34,0.03551853449062091
2009,CGY,Miikka Kiprusoff,19,164,324,0.31463933551740264
2009,CHI,Corey Crawford,1,7,16,-0.006044483179117004
2009,CHI,Cristobal Huet,7,78,130,0.3594644552203141
2009,CHI,Nikolai Khabibulin,43,421,881,1.4026079300874863
2009,DET,Chris Osgood,47,637,1406,3.983045771341265
2009,DET,Ty Conklin,0,9,20,0.12468905300921382
